Case_ID,Incident_Date,Location,Suspect_Age,Heart_Attack_Time,Witness_Count,Crime_Type,Status,Suspect_Gender,Time_of_Day,Evidence_Collected,Severity_Level,Location_Description
DN001,01-01-2024,Shinjuku,51,01-01-2024 10:56,3,Fraud,Open,Female,Evening,No,Low,"Home of a detective, where mysteries unfold"
DN002,02-01-2024,Osaka,23,01-01-2024 01:59,6,Fraud,Open,Female,Evening,No,Low,"A quiet neighborhood, hiding secrets"
DN003,03-01-2024,Shibuya,39,01-01-2024 13:50,7,Murder,Pending,Male,Afternoon,Yes,High,"A bustling area, often a target for Kira"
DN004,04-01-2024,Osaka,28,01-01-2024 18:01,3,Vandalism,Closed,Male,Evening,No,High,"A school, where students are unaware of the danger"
DN005,05-01-2024,Osaka,33,01-01-2024 22:49,7,Assault,Open,Male,Afternoon,No,Low,"A busy district, filled with potential witnesses"
DN006,06-01-2024,Kanto,50,01-01-2024 12:20,3,Assault,Pending,Male,Evening,Yes,Medium,"A school, where students are unaware of the danger"
DN007,07-01-2024,Shibuya,26,01-01-2024 01:56,2,Fraud,Closed,Female,Morning,Yes,Medium,"A public park, where many gather and observe"
DN008,08-01-2024,Shibuya,23,01-01-2024 13:10,4,Fraud,Open,Female,Afternoon,No,High,"An abandoned building, rumored to be haunted"
DN009,09-01-2024,Shibuya,33,01-01-2024 19:10,8,Theft,Closed,Male,Evening,No,Medium,"A bustling area, often a target for Kira"
DN010,10-01-2024,Osaka,46,01-01-2024 23:36,9,Vandalism,Pending,Female,Night,No,Low,"A busy district, filled with potential witnesses"
DN011,11-01-2024,Shinjuku,20,01-01-2024 16:52,7,Murder,Open,Female,Evening,No,High,"A public park, where many gather and observe"
DN012,12-01-2024,Shibuya,37,01-01-2024 18:01,1,Assault,Closed,Female,Night,Yes,Low,"A public park, where many gather and observe"
DN013,13-01-2024,Osaka,,01-01-2024 10:33,3,Theft,Open,Female,Night,No,Low,"A bustling area, often a target for Kira"
DN014,14-01-2024,Kanto,36,01-01-2024 08:32,9,Theft,Closed,Male,Morning,No,Medium,"An abandoned building, rumored to be haunted"
DN015,15-01-2024,Shinjuku,43,01-01-2024 13:21,1,Assault,Pending,Male,Afternoon,Yes,High,"A dark alley, where shadows linger"
DN016,16-01-2024,Kanto,20,01-01-2024 18:39,9,Murder,Pending,Female,Evening,No,High,"A dark alley, where shadows linger"
DN017,17-01-2024,Shinjuku,36,01-01-2024 19:01,8,Theft,Open,Male,Morning,Yes,Medium,"A public park, where many gather and observe"
DN018,18-01-2024,Osaka,37,01-01-2024 09:19,1,Theft,Closed,Male,Evening,Yes,Low,"A dark alley, where shadows linger"
DN019,19-01-2024,Tokyo,49,01-01-2024 08:07,,Vandalism,Open,Male,Night,Yes,Low,"Home of a detective, where mysteries unfold"
DN020,20-01-2024,Shinjuku,24,01-01-2024 21:00,5,Murder,Open,Female,Afternoon,No,Low,"A public park, where many gather and observe"
